Name,OVR,PAC,SHO,PAS,DRI,DEF,PHY,Position,Preferred,Height,Weight,AltPos,Age,Nation,League,Team
Adam Armstrong,75,77,76,66,73,35,68,ST,Right,"172cm / 5'8""",69kg / 152lb,RW,27,England,Premier League,Southampton
Adam Bareiro,75,71,73,57,72,39,78,ST,Right,"184cm / 6'0""",84kg / 185lb,,28,Paraguay,Libertadores,River Plate
Adam Beaudry,53,55,53,56,53,24,49,GK,Right,"188cm / 6'2""",70kg / 154lb,,18,United States,MLS,Colorado Rapids
Adam Buksa,74,63,74,57,68,32,77,ST,Left,"193cm / 6'4""",88kg / 194lb,,28,Poland,3F Superliga,FC Midtjylland
Adam Carlén,65,60,43,56,66,60,78,CDM,Right,"193cm / 6'4""",85kg / 187lb,CM,24,Sweden,Allsvenskan,IFK Göteborg
Adam Chicksen,59,69,49,53,58,53,64,LB,Left,"173cm / 5'8""",74kg / 163lb,,32,Zimbabwe,EFL League Two,Notts County
Adam Chojecki,55,63,37,52,53,52,56,CDM,Right,"180cm / 5'11""",75kg / 165lb,CM,19,Poland,PKO BP Ekstraklasa,Korona Kielce
Adam Daghim,62,81,58,53,67,50,65,ST,Left,"186cm / 6'1""",80kg / 176lb,CM,18,Denmark,Bundesliga,RB Salzburg
Adam Davies,68,69,65,65,69,40,67,GK,Right,"185cm / 6'1""",80kg / 176lb,,32,Wales,EFL Championship,Sheffield Utd
Adam Devine,62,65,44,54,63,56,61,RB,Right,"184cm / 6'0""",70kg / 154lb,,21,Scotland,Scottish Prem,Rangers
Adam Dźwigała,68,73,44,53,56,66,75,CB,Right,"185cm / 6'1""",80kg / 176lb,RB,28,Poland,Bundesliga,FC St. Pauli
Adam Foley,56,59,57,50,54,44,58,RM,Right,"188cm / 6'2""",80kg / 176lb,RW,34,Republic of Ireland,SSE Airtricity PD,Drogheda United
Adam Forshaw,71,54,61,70,72,67,67,CDM,Right,"174cm / 5'9""",71kg / 157lb,CM,32,England,EFL Championship,Plymouth Argyle
Adam Gabriel,66,69,35,57,61,62,76,RB,Right,"190cm / 6'3""",84kg / 185lb,,23,Czech Republic,3F Superliga,FC Midtjylland
Adam Gnezda Čerin,73,73,63,71,73,62,68,CM,Right,"180cm / 5'11""",77kg / 170lb,CDM,25,Slovenia,Hellas Liga,Panathinaikos
Adam Hayton,51,51,50,56,54,32,46,GK,Right,"188cm / 6'2""",78kg / 172lb,,20,England,EFL League One,Barnsley
Adam Hložek,76,75,76,72,76,31,77,ST,Right,"188cm / 6'2""",84kg / 185lb,CAM,22,Czech Republic,Bundesliga,TSG Hoffenheim
Adam Idah,73,80,72,57,69,24,78,ST,Right,"190cm / 6'3""",83kg / 183lb,,23,Republic of Ireland,Scottish Prem,Celtic
Adam Jackson,65,49,30,42,50,64,70,CB,Right,"187cm / 6'2""",80kg / 176lb,,30,England,EFL League One,Lincoln City
Adam Jakobsen,65,75,62,59,66,26,68,ST,Right,"185cm / 6'1""",81kg / 179lb,LM,25,Denmark,Allsvenskan,Brommapojkarna
Adam Kaied,61,79,47,56,64,33,49,RM,Right,"178cm / 5'10""",75kg / 165lb,"LM, RW",22,Sweden,Eredivisie,NAC Breda
Adam Karabec,71,73,65,69,74,34,62,RW,Left,"185cm / 6'1""",74kg / 163lb,RM,21,Czech Republic,Bundesliga 2,Hamburger SV
Adam Kardaś,53,64,49,56,60,44,54,CDM,Right,"180cm / 5'11""",72kg / 159lb,,18,Poland,PKO BP Ekstraklasa,Lechia Gdańsk
Adam Lallana,74,52,70,76,76,63,61,CAM,Right,"172cm / 5'8""",73kg / 161lb,CM,36,England,Premier League,Southampton
Adam Legzdins,62,60,59,62,62,33,61,GK,Right,"190cm / 6'3""",90kg / 198lb,,37,England,Scottish Prem,Dundee FC
Adam Lewis,61,70,38,55,61,55,59,LB,Left,"175cm / 5'9""",72kg / 159lb,,24,England,EFL League Two,Morecambe
Adam Lundqvist,67,67,52,63,62,63,59,LB,Left,"175cm / 5'9""",65kg / 143lb,,30,Sweden,Allsvenskan,BK Häcken
Adam Maher,70,61,70,71,73,67,60,CDM,Right,"174cm / 5'9""",72kg / 159lb,CM,31,Netherlands,ROSHN Saudi League,Damac FC
Adam Marusic,79,87,66,67,74,76,80,LB,Right,"185cm / 6'1""",81kg / 179lb,RB,31,Montenegro,Serie A Enilive,Latium
Adam Masina,72,64,42,66,67,73,61,CB,Left,"191cm / 6'3""",87kg / 192lb,LB,30,Morocco,Serie A Enilive,Torino
Adam Mayor,61,76,56,51,67,35,53,LM,Left,"170cm / 5'7""",65kg / 143lb,"LW, LB",20,England,EFL Championship,Millwall
Adam McDonnell,60,54,52,59,58,54,66,CDM,Right,"174cm / 5'9""",72kg / 159lb,,27,Republic of Ireland,SSE Airtricity PD,Bohemians
Adam Montgomery,63,75,53,58,67,57,61,LB,Left,"173cm / 5'8""",68kg / 150lb,,22,Scotland,Scottish Prem,Celtic
Adam Murphy,60,71,54,58,63,52,64,CM,Right,"178cm / 5'10""",73kg / 161lb,,19,Republic of Ireland,EFL Championship,Bristol City
Adam Nhaili,55,62,56,47,63,19,44,CAM,Right,"174cm / 5'9""",65kg / 143lb,,19,Belgium,1A Pro League,STVV
Adam O'Reilly,62,64,46,58,65,56,65,CDM,Right,"168cm / 5'6""",68kg / 150lb,CM,23,Republic of Ireland,SSE Airtricity PD,Derry City
Adam Obert,69,64,44,62,65,70,64,CB,Left,"186cm / 6'1""",80kg / 176lb,LB,22,Slovakia,Serie A Enilive,Cagliari
Adam Pavlesic,56,56,57,53,59,30,58,GK,Right,"189cm / 6'2""",87kg / 192lb,,22,Australia,A-League,Central Coast
Adam Pearlman,49,60,22,30,39,51,55,CB,Right,"183cm / 6'0""",77kg / 170lb,,19,South Africa,MLS,Toronto FC
Adam Petersson,58,61,53,54,61,54,57,CM,Right,"183cm / 6'0""",75kg / 165lb,,24,Sweden,Allsvenskan,Mjällby AIF
Adam Phillips,66,73,64,66,66,60,65,CM,Right,"180cm / 5'11""",76kg / 168lb,CAM,26,England,EFL League One,Barnsley
Adam Queally,52,52,35,40,41,52,59,CB,Right,"183cm / 6'0""",77kg / 170lb,,18,Republic of Ireland,SSE Airtricity PD,Waterford
Adam Radwański,62,72,58,60,63,49,64,CAM,Right,"170cm / 5'7""",63kg / 139lb,"RM, LB",26,Poland,PKO BP Ekstraklasa,Zagłębie Lubin
Adam Randell,68,76,62,66,70,65,71,CM,Right,"175cm / 5'9""",69kg / 152lb,CDM,23,England,EFL Championship,Plymouth Argyle
Adam Saldaña,60,54,47,56,61,57,65,CDM,Right,"168cm / 5'6""",65kg / 143lb,CM,22,United States,Eliteserien,KFUM-Kameratene
Adam Smith,73,65,59,70,70,72,70,RB,Right,"180cm / 5'11""",78kg / 172lb,,33,England,Premier League,AFC Bournemouth
Adam Stejskal,66,70,62,56,69,21,65,GK,Right,"189cm / 6'2""",81kg / 179lb,,22,Czech Republic,Bundesliga,WSG Tirol
Adam Ståhl,65,75,60,61,64,59,71,LB,Right,"187cm / 6'2""",75kg / 165lb,RB,29,Sweden,Allsvenskan,Djurgårdens IF
Adam Sørensen,67,91,46,62,69,56,60,LB,Left,"165cm / 5'5""",60kg / 132lb,,23,Denmark,Eliteserien,FK Bodø/Glimt
Adam Taggart,70,83,69,60,68,38,71,ST,Right,"183cm / 6'0""",69kg / 152lb,,31,Australia,A-League,Perth Glory
Adam Vendelbo,51,64,52,39,51,18,48,ST,Right,"178cm / 5'10""",73kg / 161lb,,20,Denmark,3F Superliga,Lyngby BK
Adam Webster,76,54,31,61,68,77,76,CB,Right,"191cm / 6'3""",75kg / 165lb,,29,England,Premier League,Brighton
Adam Wharton,78,68,61,78,78,75,71,CDM,Left,"182cm / 6'0""",70kg / 154lb,CM,20,England,Premier League,Crystal Palace
Adam Wikman,59,66,48,55,62,56,51,CM,Left,"178cm / 5'10""",66kg / 146lb,,20,Sweden,Allsvenskan,IK Sirius
Adam Wilson,57,79,50,49,60,44,42,LW,Left,"179cm / 5'10""",68kg / 150lb,"RW, LM",24,Kenya,EFL League Two,Bradford City
Adam Zimarino,56,68,57,49,56,33,56,ST,Left,"182cm / 6'0""",70kg / 154lb,RM,23,Australia,A-League,Brisbane Roar
Adam Zreľák,65,51,67,49,62,29,75,ST,Left,"183cm / 6'0""",80kg / 176lb,,30,Slovakia,PKO BP Ekstraklasa,GKS Katowice
Adama Bojang,64,62,64,50,60,36,57,ST,Right,"191cm / 6'3""",79kg / 174lb,,20,Gambia,Ligue 1 McDonald's,Stade de Reims
Adama Camara,68,65,60,65,70,61,52,CM,Right,"180cm / 5'11""",70kg / 154lb,CDM,27,France,Ligue 2 BKT,Paris FC
Adama Sidibeh,63,88,60,48,63,19,64,ST,Right,"173cm / 5'8""",64kg / 141lb,,26,Gambia,Scottish Prem,St. Johnstone
Adama Traoré,75,93,65,64,81,37,80,RM,Right,"178cm / 5'10""",86kg / 190lb,RW,28,Spain,Premier League,Fulham
Adama Traoré,74,87,71,65,75,23,60,RW,Left,"177cm / 5'10""",74kg / 163lb,"CAM, RM",29,Mali,Magyar Liga,Ferencvárosi TC
Adamo Nagalo,71,70,29,55,62,70,77,CB,Right,"185cm / 6'1""",75kg / 165lb,,21,Burkina Faso,Eredivisie,PSV
Adams Friday,61,81,56,52,64,45,53,LM,Right,"174cm / 5'9""",72kg / 159lb,"RW, RB, LW",21,Nigeria,SUPERLIGA,FC Botoșani
Aday Ercan,59,60,46,48,57,56,66,CDM,Right,"191cm / 6'3""",79kg / 174lb,CM,24,Germany,3. Liga,VfL Osnabrück
Addisyn Merrick,74,53,42,60,68,78,61,CB,Right,"163cm / 5'4""",57kg / 126lb,,26,United States,NWSL,Utah Royals FC
Adedire Mebude,60,75,61,46,66,24,54,RW,Right,"189cm / 6'2""",78kg / 172lb,RM,20,Scotland,1A Pro League,KVC Westerlo
Adel Bettaieb,65,72,65,53,65,22,63,ST,Right,"184cm / 6'0""",78kg / 172lb,LW,27,Tunisia,SUPERLIGA,FC Univ. Cluj
Adem Sipić,50,61,49,32,46,23,56,ST,Right,"185cm / 6'1""",82kg / 181lb,,18,United States,MLS,Nashville SC
Adem Zorgane,76,55,71,77,74,69,83,CM,Right,"184cm / 6'0""",77kg / 170lb,CDM,24,Algeria,1A Pro League,Sp. Charleroi
Ademola Lookman,82,84,81,71,86,31,66,ST,Right,"174cm / 5'9""",71kg / 157lb,,26,Nigeria,Serie A Enilive,Bergamo Calcio
Aden Baldwin,61,68,40,48,52,59,69,CB,Right,"183cm / 6'0""",70kg / 154lb,,27,England,EFL League Two,Bradford City
Aden Flint,67,35,44,44,48,66,79,CB,Right,"197cm / 6'6""",83kg / 183lb,,35,England,EFL League One,Mansfield Town
Aderllan Santos,75,59,52,52,57,76,81,CB,Right,"193cm / 6'4""",85kg / 187lb,,35,Brazil,Liga Portugal,Rio Ave FC
Adi Chică-Roșă,58,62,58,36,53,23,58,ST,Right,"185cm / 6'1""",78kg / 172lb,,26,Romania,SUPERLIGA,FC Botoșani
Adi Nalić,66,79,66,58,69,43,71,CAM,Right,"190cm / 6'3""",83kg / 183lb,"ST, CM",26,Bosnia and Herzegovina,Eredivisie,Almere City FC
Adil Aouchiche,69,65,63,70,71,56,57,CAM,Right,"181cm / 5'11""",72kg / 159lb,"LM, CM",22,France,EFL Championship,Sunderland
Adil Demirbağ,66,54,31,43,47,67,70,CB,Right,"185cm / 6'1""",78kg / 172lb,,26,Turkey,Trendyol Super Lig,Konyaspor
Adil Taoui,64,69,62,57,68,24,54,LM,Right,"179cm / 5'10""",69kg / 152lb,LW,23,France,Bundesliga,LASK
Adilson Malanda,68,61,32,49,55,67,71,CB,Right,"185cm / 6'1""",75kg / 165lb,,22,France,MLS,Charlotte FC
Adilson Mendes,63,76,60,59,66,31,49,LM,Right,"169cm / 5'7""",65kg / 143lb,"RM, LW",27,Portugal,LALIGA HYPERMOTION,Córdoba CF
Adis Jasic,70,79,59,64,66,64,74,RB,Right,"178cm / 5'10""",69kg / 152lb,"RM, CM",21,Austria,Bundesliga,Wolfsberger AC
Adnan Aganović,64,57,59,69,64,46,66,CM,Right,"180cm / 5'11""",76kg / 168lb,LM,36,Croatia,SUPERLIGA,Unirea Slobozia
Adnan Aktaş,53,66,33,34,59,52,47,LB,Left,"174cm / 5'9""",68kg / 150lb,,17,Turkey,Trendyol Super Lig,Kasımpaşa
Adnan Golubović,66,67,65,60,70,45,62,GK,Right,"186cm / 6'1""",80kg / 176lb,,29,Slovenia,SUPERLIGA,FC Dinamo 1948
Adnan Januzaj,76,76,69,77,80,30,56,RW,Left,"186cm / 6'1""",76kg / 168lb,"LW, RM",29,Belgium,LA LIGA,UD Las Palmas
Adnan Kovačević,67,52,42,44,43,67,76,CB,Right,"189cm / 6'2""",80kg / 176lb,,31,Bosnia and Herzegovina,PKO BP Ekstraklasa,Raków
Ado Onaiwu,70,79,69,61,66,38,69,ST,Right,"180cm / 5'11""",75kg / 165lb,LM,28,Japan,Ligue 1 McDonald's,AJ Auxerre
Adonis Preciado,70,89,55,62,69,49,47,RM,Right,"175cm / 5'9""",72kg / 159lb,"LM, RW",27,Ecuador,Libertadores,Barcelona SC
Adrian Beck,70,58,68,68,68,66,71,CM,Right,"185cm / 6'1""",81kg / 179lb,CAM,27,Germany,Bundesliga,Heidenheim
Adrian Benedyczak,72,88,71,65,69,32,76,LM,Right,"191cm / 6'3""",78kg / 172lb,"ST, RM, LW",23,Poland,Serie A Enilive,Parma
Adrian Blake,62,79,54,52,66,25,41,LM,Left,"173cm / 5'8""",69kg / 152lb,LW,19,England,Eredivisie,FC Utrecht
Adrian Bukowski,60,53,38,53,56,57,65,CDM,Right,"188cm / 6'2""",81kg / 179lb,,21,Poland,PKO BP Ekstraklasa,Stal Mielec
Adrian Błąd,63,86,58,50,66,50,54,RM,Right,"165cm / 5'5""",62kg / 137lb,"LM, RW",33,Poland,PKO BP Ekstraklasa,GKS Katowice
Adrian Caragea,61,66,58,59,62,37,59,LW,Right,"182cm / 6'0""",74kg / 163lb,"RW, LM",19,Romania,SUPERLIGA,FC Dinamo 1948
Adrian Durrer,60,48,34,46,49,59,70,CB,Right,"188cm / 6'2""",81kg / 179lb,CDM,23,Switzerland,CSSL,FC Winterthur
Adrian Fein,63,51,57,62,65,61,62,CDM,Right,"187cm / 6'2""",81kg / 179lb,,25,Germany,3. Liga,SV Waldhof
Adrian Gantenbein,66,68,48,58,63,61,65,RB,Right,"183cm / 6'0""",78kg / 172lb,RM,23,Switzerland,Bundesliga 2,FC Schalke 04
Adrian Grbić,68,65,70,53,65,31,70,ST,Right,"188cm / 6'2""",82kg / 181lb,,28,Austria,CSSL,FC Luzern
Adrian Mazilu,66,81,64,58,69,35,55,RM,Left,"180cm / 5'11""",72kg / 159lb,"LM, RW",19,Romania,Premier League,Brighton
Adrian Nilsen Pereira,67,81,59,60,67,59,69,LB,Left,"186cm / 6'1""",75kg / 165lb,,25,Norway,Eliteserien,Rosenborg BK
Adrian Przyborek,61,72,54,54,63,29,53,RM,Right,"184cm / 6'0""",78kg / 172lb,"CAM, LM, RW",17,Poland,PKO BP Ekstraklasa,Pogoń Szczecin
Adrian Păun,67,73,65,66,69,33,69,CAM,Right,"177cm / 5'10""",73kg / 161lb,"LW, CM",29,Romania,SUPERLIGA,CFR 1907 Cluj
Adrian Rus,67,72,47,54,59,66,73,CB,Right,"183cm / 6'0""",76kg / 168lb,,28,Romania,Serie BKT,Pisa
Adrian Segecic,59,76,51,51,65,34,46,RW,Left,"173cm / 5'8""",68kg / 150lb,"LW, RM",20,Australia,A-League,Sydney FC
Adrian Skogmar,57,64,42,53,68,48,64,CM,Right,"172cm / 5'8""",70kg / 154lb,"RB, CDM",18,Sweden,Allsvenskan,Malmö FF
Adrian Sæther,55,57,54,54,56,23,55,GK,Right,"197cm / 6'6""",91kg / 201lb,,23,Norway,Eliteserien,Kristiansund BK
Adrian Šemper,71,72,68,66,72,31,70,GK,Right,"194cm / 6'4""",89kg / 196lb,,26,Croatia,Serie BKT,Pisa
Adrian Șut,70,70,62,62,63,69,78,CDM,Right,"186cm / 6'1""",77kg / 170lb,CM,25,Romania,SUPERLIGA,FCSB
Adriana,76,77,76,73,75,35,66,LM,Right,"165cm / 5'5""",54kg / 119lb,"RM, LW",27,Brazil,NWSL,Orlando Pride
Adriana Achcińska,72,41,62,65,67,65,63,CM,Right,"165cm / 5'5""",56kg / 123lb,,22,Poland,GPFBL,1. FC Köln
Adriana Leon,77,81,76,68,79,35,65,RW,Right,"161cm / 5'3""",54kg / 119lb,"ST, LW, RM",31,Canada,Barclays WSL,Aston Villa
Adriana Nanclares,79,80,75,70,81,45,78,GK,Left,"170cm / 5'7""",52kg / 115lb,,22,Spain,Liga F,Athletic Club
Adrianna Franch,82,81,80,76,82,39,84,GK,Right,"175cm / 5'9""",70kg / 154lb,,33,United States,NWSL,KC Current
Adriano,61,79,57,61,69,24,53,ST,Right,"175cm / 5'9""",72kg / 159lb,RW,22,Brazil,PKO BP Ekstraklasa,Raków
Adriano Bertaccini,67,75,67,59,68,28,60,ST,Right,"173cm / 5'8""",70kg / 154lb,"RW, LW",24,Belgium,1A Pro League,STVV
Adriano Grimaldi,69,57,69,52,62,35,78,ST,Right,"188cm / 6'2""",90kg / 198lb,,33,Germany,Bundesliga 2,SC Paderborn 07
Adriel Ba Loua,65,91,60,60,67,27,49,RM,Left,"170cm / 5'7""",75kg / 165lb,"LM, RW",28,Cote d'Ivoire,PKO BP Ekstraklasa,Lech Poznań
Adrien Hunou,66,66,65,67,67,51,67,ST,Right,"179cm / 5'10""",70kg / 154lb,CM,30,France,Ligue 1 McDonald's,Angers SCO
Adrien Lebeau,66,74,59,63,70,47,51,CAM,Right,"175cm / 5'9""",69kg / 152lb,"LW, RW",25,France,3. Liga,FC Hansa Rostock
Adrien Monfray,68,64,51,59,61,67,82,CB,Right,"185cm / 6'1""",76kg / 168lb,,33,France,Ligue 2 BKT,ESTAC Troyes
Adrien Tameze,76,77,66,68,77,76,77,CB,Right,"182cm / 6'0""",80kg / 176lb,"CDM, CM",30,France,Serie A Enilive,Torino
Adrien Thomasson,75,59,73,76,77,64,72,CAM,Right,"175cm / 5'9""",72kg / 159lb,"CM, RW",30,France,Ligue 1 McDonald's,RC Lens
Adrien Truffert,77,76,57,71,75,73,69,LB,Left,"176cm / 5'9""",72kg / 159lb,LM,22,France,Ligue 1 McDonald's,Stade Rennais FC
Adrijana Mori,67,65,67,56,66,45,65,ST,Right,"172cm / 5'8""",62kg / 137lb,LM,24,Slovenia,GPFBL,Turbine Potsdam
Adrion Pajaziti,63,64,55,62,61,59,64,CDM,Right,"178cm / 5'10""",71kg / 157lb,"LM, CM",21,Albania,Premier League,Fulham
Adrià Pedrosa,76,90,60,69,78,69,73,LB,Left,"176cm / 5'9""",69kg / 152lb,,26,Spain,LA LIGA,Sevilla FC
Adrián,70,70,70,67,69,43,69,GK,Right,"190cm / 6'3""",80kg / 176lb,,37,Spain,LA LIGA,Real Betis
Adrián Alcaraz,65,77,65,51,67,18,44,ST,Right,"181cm / 5'11""",76kg / 168lb,,24,Paraguay,Sudamericana,Guaraní
Adrián Arregui,73,70,66,72,71,71,78,CM,Right,"175cm / 5'9""",74kg / 163lb,CDM,32,Argentina,Libertadores,Alianza Lima
Adrián Balboa,71,57,73,52,65,28,76,ST,Right,"186cm / 6'1""",82kg / 181lb,,30,Uruguay,Primera División,Unión
Adrián Bernabé,75,79,70,74,78,67,65,CAM,Left,"175cm / 5'9""",68kg / 150lb,"CM, CDM",23,Spain,Serie A Enilive,Parma
Adrián Diéguez,69,57,31,58,53,69,68,CB,Left,"187cm / 6'2""",78kg / 172lb,CDM,28,Spain,PKO BP Ekstraklasa,Jagiellonia
Adrián Jusino,68,46,44,47,52,68,84,CB,Right,"185cm / 6'1""",88kg / 194lb,,32,Bolivia,Libertadores,The Strongest
Adrián Luna,68,78,63,69,69,40,46,CAM,Right,"169cm / 5'7""",60kg / 132lb,"LW, RW",32,Uruguay,ISL,Kerala Blasters
Adrián Martínez,76,68,76,58,70,41,82,ST,Left,"176cm / 5'9""",89kg / 196lb,,32,Argentina,Sudamericana,Racing Club
Adrián Marín,71,73,48,64,68,68,72,LB,Left,"181cm / 5'11""",73kg / 161lb,,27,Spain,Liga Portugal,SC Braga
Adrián Pacheco,61,66,54,58,60,49,55,CAM,Right,"177cm / 5'10""",65kg / 143lb,,19,Bolivia,Sudamericana,Wilstermann
Adrián Palacios,55,58,27,41,35,53,62,CB,Left,"186cm / 6'1""",82kg / 181lb,,20,Venezuela,1A Pro League,KRC Genk
Adrián Peña,56,62,58,58,53,44,53,CAM,Right,"184cm / 6'0""",70kg / 154lb,ST,20,Bolivia,Sudamericana,Wilstermann
Adrián Ramos,72,66,72,65,67,42,70,ST,Right,"184cm / 6'0""",78kg / 172lb,,38,Colombia,Sudamericana,América de Cali
Adrián Sánchez,70,62,55,68,66,64,71,CM,Right,"177cm / 5'10""",73kg / 161lb,"RM, LM",25,Argentina,Primera División,Atlético Tucumán
Adrián Ugarriza,66,67,67,60,66,23,63,ST,Right,"184cm / 6'0""",82kg / 181lb,RW,27,Peru,Sudamericana,Dep. Garcilaso
Adryelson,74,73,46,59,61,75,73,CB,Right,"184cm / 6'0""",76kg / 168lb,,26,Brazil,Ligue 1 McDonald's,OL
Adrían Spörle,67,73,55,59,63,63,71,LB,Left,"182cm / 6'0""",76kg / 168lb,LM,29,Argentina,Primera División,Independiente
Adu Ares,70,85,64,67,73,25,58,LM,Right,"183cm / 6'0""",73kg / 161lb,"RM, LW",22,Spain,LALIGA HYPERMOTION,Real Zaragoza
Afeez Aremu,66,72,55,55,64,67,72,CDM,Right,"181cm / 5'11""",74kg / 163lb,CM,24,Nigeria,Bundesliga 2,Kaiserslautern
Afimico Pululu,70,92,68,57,71,26,68,ST,Left,"175cm / 5'9""",80kg / 176lb,LM,25,Angola,PKO BP Ekstraklasa,Jagiellonia
Afonso Freitas,69,69,52,60,68,64,66,LB,Left,"181cm / 5'11""",73kg / 161lb,LM,24,Portugal,Liga Portugal,Nacional
Afonso Moreira,68,81,60,62,74,42,48,RM,Right,"176cm / 5'9""",69kg / 152lb,"LM, LW, RW",19,Portugal,Liga Portugal,Sporting CP
Afonso Rodrigues,65,73,67,61,65,31,53,LM,Left,"178cm / 5'10""",70kg / 154lb,LW,22,Portugal,Liga Portugal,FC Famalicão
Afonso Sousa,68,78,60,64,72,56,54,CAM,Right,"174cm / 5'9""",64kg / 141lb,"CM, RM",24,Portugal,PKO BP Ekstraklasa,Lech Poznań
Afonso Taira,69,49,55,61,71,68,69,CDM,Right,"179cm / 5'10""",67kg / 148lb,CM,32,Portugal,ROSHN Saudi League,Al Kholood
Agathe Donnary,73,73,58,70,72,66,72,CM,Right,"161cm / 5'3""",55kg / 121lb,CDM,22,France,Arkema PL,En Avant Guingamp
Agathe Ollivier,71,75,53,65,69,64,61,LB,Left,"166cm / 5'5""",59kg / 130lb,,26,France,Arkema PL,En Avant Guingamp
Agirrezabala,77,78,75,73,75,32,79,GK,Left,"187cm / 6'2""",80kg / 176lb,,23,Spain,LA LIGA,Athletic Club
Agnes Beever-Jones,70,67,68,59,71,36,66,ST,Right,"173cm / 5'8""",65kg / 143lb,LW,21,England,Barclays WSL,Chelsea
Agnes Nyberg,70,67,61,68,68,64,60,CM,Right,"163cm / 5'4""",57kg / 126lb,,24,Sweden,NWSL,Utah Royals FC
Agon Elezi,65,67,56,62,61,64,57,CDM,Right,"181cm / 5'11""",71kg / 157lb,"RM, CM",23,North Macedonia,Bundesliga,VfL Bochum 1848
Aguado,73,74,63,73,74,64,65,CM,Right,"175cm / 5'9""",71kg / 157lb,CDM,28,Spain,LA LIGA,RCD Espanyol
Agus Medina,67,69,63,66,64,65,74,CM,Right,"176cm / 5'9""",72kg / 159lb,"CDM, CAM",30,Spain,LALIGA HYPERMOTION,Albacete BP
Agustin Hausch,61,80,61,53,66,29,47,ST,Right,"175cm / 5'9""",65kg / 143lb,LW,21,Argentina,Libertadores,San Lorenzo
Agustín Alaniz,65,73,65,54,68,37,57,RW,Right,"182cm / 6'0""",78kg / 172lb,"RM, ST",22,Uruguay,Sudamericana,Racing Club
Agustín Albarracín,64,65,67,59,65,40,50,LW,Left,"176cm / 5'9""",69kg / 152lb,"RW, CAM, LM",19,Uruguay,Sudamericana,Wanderers
Agustín Alcaraz,61,62,50,58,60,55,61,CDM,Right,"179cm / 5'10""",67kg / 148lb,CM,26,Argentina,Sudamericana,Real Tomayapo
Agustín Almendra,73,68,67,69,71,66,71,CM,Right,"182cm / 6'0""",80kg / 176lb,CDM,24,Argentina,Sudamericana,Racing Club
Agustín Baldi,64,53,54,58,62,63,63,CDM,Left,"185cm / 6'1""",82kg / 181lb,CB,22,Argentina,Sudamericana,Belgrano
Agustín Bolivar,64,61,46,58,61,64,63,CDM,Right,"173cm / 5'8""",73kg / 161lb,CM,28,Argentina,Primera División,Gimnasia
Agustín Bouzat,71,84,64,67,73,64,72,CDM,Left,"170cm / 5'7""",62kg / 137lb,"CM, RM",30,Argentina,Primera División,Vélez Sarsfield
Agustín Cardozo,69,68,53,66,69,68,73,CM,Right,"182cm / 6'0""",78kg / 172lb,CDM,27,Argentina,Primera División,Tigre
Agustín Cayetano,68,65,35,58,50,66,62,LB,Left,"179cm / 5'10""",77kg / 170lb,CB,25,Uruguay,Libertadores,Liverpool
Agustín Farías,68,56,61,65,64,64,73,CM,Right,"177cm / 5'10""",72kg / 159lb,CDM,36,Argentina,Sudamericana,Uni. Católica
Agustín García Basso,74,65,52,60,63,75,77,CB,Left,"178cm / 5'10""",78kg / 172lb,,32,Argentina,Sudamericana,Racing Club
Agustín González,66,72,64,62,67,55,70,CAM,Left,"175cm / 5'9""",65kg / 143lb,"CM, LM",27,Uruguay,Libertadores,Liverpool
Agustín Graneros,66,77,66,50,67,30,57,ST,Right,"180cm / 5'11""",70kg / 154lb,"RM, LM",28,Argentina,Sudamericana,Real Tomayapo
Agustín Lagos,68,68,51,60,64,64,69,RB,Right,"178cm / 5'10""",73kg / 161lb,RM,22,Argentina,Primera División,Vélez Sarsfield
Agustín Manzur,62,67,52,57,62,59,61,CM,Right,"169cm / 5'7""",64kg / 141lb,RM,23,Argentina,Sudamericana,Guaraní
Agustín Martegani,70,73,67,71,72,58,63,CM,Left,"183cm / 6'0""",74kg / 163lb,CAM,24,Argentina,Sudamericana,Boca Juniors
Agustín Mulet,68,71,51,66,70,62,72,CM,Right,"183cm / 6'0""",74kg / 163lb,CDM,24,Argentina,Primera División,Ind. Rivadavia
Agustín Ocampo,69,75,69,66,69,43,66,LM,Left,"172cm / 5'8""",71kg / 157lb,"ST, RM, LW",26,Uruguay,Primera División,Platense
Agustín Ojeda,69,88,56,63,74,41,48,RW,Right,"171cm / 5'7""",62kg / 137lb,"LW, RM",20,Argentina,MLS,New York City FC
Agustín Pereira,64,72,35,55,61,61,59,RB,Right,"172cm / 5'8""",68kg / 150lb,,23,Uruguay,Sudamericana,Racing Club
Agustín Rodríguez,61,68,43,60,65,40,41,CAM,Right,"170cm / 5'7""",62kg / 137lb,LW,20,Argentina,Sudamericana,Lanús
Agustín Ruberto,67,72,67,59,65,41,67,ST,Right,"183cm / 6'0""",80kg / 176lb,,18,Argentina,Libertadores,River Plate
Agustín Sant'Anna,73,76,59,69,71,71,67,RB,Right,"173cm / 5'8""",72kg / 159lb,,27,Uruguay,Libertadores,River Plate
Agustín Sández,70,75,42,56,62,67,79,LB,Left,"181cm / 5'11""",78kg / 172lb,,23,Argentina,Libertadores,Rosario Central
Agustín Toledo,66,59,40,58,60,65,60,CDM,Right,"178cm / 5'10""",71kg / 157lb,CM,24,Argentina,Primera División,Huracán
